股票代码,股票简称,现价,涨幅,涨跌,涨速,换手
603950,N长源,,,6.96,0.00,0.53
688003,天准科技,,,5.20,0.00,14.94
688001,华兴源创,,,7.59,0.00,18.47
688126,沪硅产业-U,,,4.03,0.08,33.00
688198,佰仁医疗,,,8.68,0.06,12.19
688007,光峰科技,,,3.15,0.00,12.62
688298,东方生物,,,11.31,0.01,23.70
688025,杰普特,,,4.82,0.04,14.57
688139,XD海尔生,,,4.08,0.21,7.20
688365,光云科技,,,5.21,0.13,28.51
300152,科融环境,,,0.22,0.00,1.44
000969,安泰科技,,,0.55,0.00,3.83
300242,佳云科技,,,0.48,0.00,9.26
002536,飞龙股份,,,0.54,0.00,6.31
600599,熊猫金控,,,0.67,0.00,14.93
600615,丰华股份,,,0.81,0.00,4.41
603166,福达股份,,,0.65,0.00,2.67
002307,北新路桥,,,0.65,0.00,10.18
300358,楚天科技,,,0.84,0.00,6.08
000796,凯撒旅业,,,0.94,0.00,2.02
600662,强生控股,,,0.79,0.00,14.38
300423,鲁亿通,,,1.12,0.00,4.04
603726,朗迪集团,,,1.23,0.00,4.28
300173,智慧松德,,,0.55,0.00,7.72
300432,富临精工,,,1.17,0.00,0.43
300009,安科生物,,,1.48,0.00,5.59
300249,依米康,,,0.63,0.00,13.45
002400,省广集团,,,0.67,0.00,17.30
600768,宁波富邦,,,0.99,0.00,8.09
002273,水晶光电,,,1.36,0.00,6.76
300367,东方网力,,,0.33,0.00,0.71
002541,鸿路钢构,,,1.74,0.00,2.13
600834,申通地铁,,,1.12,0.00,8.51
002118,紫鑫药业,,,0.38,0.00,1.46
002138,顺络电子,,,2.13,0.00,6.77
300790,宇瞳光学,,,2.08,0.00,9.02
002810,山东赫达,,,2.17,0.00,3.97
002382,蓝帆医疗,,,1.79,0.00,4.64
300073,当升科技,,,2.35,0.31,5.32
000612,焦作万方,,,0.48,0.00,11.17
002971,和远气体,,,2.38,0.00,15.86
300118,东方日升,,,1.14,0.00,6.67
300831,派瑞股份,,,1.80,0.00,1.18
603603,博天环境,,,0.62,0.00,3.71
603390,通达电气,,,1.32,0.00,7.79
002338,奥普光电,,,1.95,0.00,13.04
002051,中工国际,,,0.70,0.00,2.52
600053,九鼎投资,,,2.27,0.00,1.97
600126,杭钢股份,,,0.82,0.00,2.58
603322,超讯通信,,,1.69,0.00,1.97
000551,创元科技,,,1.10,0.00,16.95
603839,安正时尚,,,1.16,0.00,1.23
300400,劲拓股份,,,1.23,0.00,1.24
603192,汇得科技,,,2.53,0.00,16.34
002891,中宠股份,,,3.09,0.00,5.82
603392,万泰生物,,,5.27,0.00,0.40
603697,有友食品,,,1.64,0.00,20.63
002976,瑞玛工业,,,3.69,0.00,35.45
300773,拉卡拉,,,6.61,0.00,4.50
300676,华大基因,,,10.87,0.00,8.57
